sessionID,trackingEpoch,sequence,sampleTimeNs,targetTimeNs,elapsedSeconds,pattern
7745843459245656472,1,1,158630202839100,158630202839100,0.000000,roll
7745843459245656472,1,2,158630214247000,158630214247000,0.011294,roll
7745843459245656472,1,3,158630225237300,158630225237300,0.022354,roll
7745843459245656472,1,4,158630236561500,158630236561500,0.033701,roll
7745843459245656472,1,5,158630247639700,158630247639700,0.044764,roll
7745843459245656472,1,6,158630258890700,158630258890700,0.055957,roll
7745843459245656472,1,7,158630269840700,158630269840700,0.066980,roll
7745843459245656472,1,8,158630281025800,158630281025800,0.078135,roll
7745843459245656472,1,9,158630292064000,158630292064000,0.089199,roll
7745843459245656472,1,10,158630303096100,158630303096100,0.100233,roll
7745843459245656472,1,11,158630314139300,158630314139300,0.111272,roll
7745843459245656472,1,12,158630325179600,158630325179600,0.122312,roll
7745843459245656472,1,13,158630336376800,158630336376800,0.133515,roll
7745843459245656472,1,14,158630347716200,158630347716200,0.144854,roll
7745843459245656472,1,15,158630358828500,158630358828500,0.155965,roll
7745843459245656472,1,16,158630369941300,158630369941300,0.167019,roll
7745843459245656472,1,17,158630380903300,158630380903300,0.178038,roll
7745843459245656472,1,18,158630391950500,158630391950500,0.189083,roll
7745843459245656472,1,19,158630403006400,158630403006400,0.200146,roll
7745843459245656472,1,20,158630414022300,158630414022300,0.211154,roll
7745843459245656472,1,21,158630425203200,158630425203200,0.222335,roll
7745843459245656472,1,22,158630436240200,158630436240200,0.233379,roll
7745843459245656472,1,23,158630447806100,158630447806100,0.244944,roll
7745843459245656472,1,24,158630458860500,158630458860500,0.255997,roll
7745843459245656472,1,25,158630470002700,158630470002700,0.267080,roll
7745843459245656472,1,26,158630480865200,158630480865200,0.277997,roll
7745843459245656472,1,27,158630492058100,158630492058100,0.289195,roll
7745843459245656472,1,28,158630503298300,158630503298300,0.300435,roll
7745843459245656472,1,29,158630514520200,158630514520200,0.311641,roll
7745843459245656472,1,30,158630525598400,158630525598400,0.322736,roll
7745843459245656472,1,31,158630536605400,158630536605400,0.333744,roll
7745843459245656472,1,32,158630547682300,158630547682300,0.344817,roll
7745843459245656472,1,33,158630558742300,158630558742300,0.355873,roll
