sessionID,trackingEpoch,sequence,sampleTimeNs,targetTimeNs,elapsedSeconds,pattern
16917652493038336455,1,1,158625154445400,158625154445400,0.000001,static
16917652493038336455,1,2,158625166083000,158625166083000,0.011536,static
16917652493038336455,1,3,158625177168800,158625177168800,0.022684,static
16917652493038336455,1,4,158625188261000,158625188261000,0.033734,static
16917652493038336455,1,5,158625199341400,158625199341400,0.044866,static
16917652493038336455,1,6,158625210225400,158625210225400,0.055762,static
16917652493038336455,1,7,158625221254400,158625221254400,0.066794,static
16917652493038336455,1,8,158625232405800,158625232405800,0.077943,static
16917652493038336455,1,9,158625243449400,158625243449400,0.088983,static
16917652493038336455,1,10,158625254502800,158625254502800,0.100039,static
16917652493038336455,1,11,158625266061800,158625266061800,0.111601,static
16917652493038336455,1,12,158625277315800,158625277315800,0.122809,static
16917652493038336455,1,13,158625288178200,158625288178200,0.133648,static
16917652493038336455,1,14,158625299340200,158625299340200,0.144877,static
16917652493038336455,1,15,158625310185600,158625310185600,0.155719,static
16917652493038336455,1,16,158625321467200,158625321467200,0.166987,static
16917652493038336455,1,17,158625332713800,158625332713800,0.178244,static
16917652493038336455,1,18,158625343872600,158625343872600,0.189400,static
16917652493038336455,1,19,158625354911500,158625354911500,0.200452,static
16917652493038336455,1,20,158625365922800,158625365922800,0.211458,static
16917652493038336455,1,21,158625376927800,158625376927800,0.222464,static
16917652493038336455,1,22,158625387969100,158625387969100,0.233508,static
16917652493038336455,1,23,158625399067400,158625399067400,0.244528,static
16917652493038336455,1,24,158625410152600,158625410152600,0.255682,static
16917652493038336455,1,25,158625421339800,158625421339800,0.266878,static
16917652493038336455,1,26,158625432564000,158625432564000,0.278090,static
16917652493038336455,1,27,158625443736600,158625443736600,0.289270,static
16917652493038336455,1,28,158625454950900,158625454950900,0.300487,static
16917652493038336455,1,29,158625466008400,158625466008400,0.311549,static
16917652493038336455,1,30,158625477264300,158625477264300,0.322773,static
16917652493038336455,1,31,158625487878000,158625487878000,0.333418,static
16917652493038336455,1,32,158625499472000,158625499472000,0.344994,static
16917652493038336455,1,33,158625510503200,158625510503200,0.355972,static
16917652493038336455,1,34,158625521530900,158625521530900,0.367069,static
16917652493038336455,1,35,158625532336400,158625532336400,0.377872,static
16917652493038336455,1,36,158625543453100,158625543453100,0.388994,static
16917652493038336455,1,37,158625554985000,158625554985000,0.400523,static
16917652493038336455,1,38,158625566040000,158625566040000,0.411570,static
16917652493038336455,1,39,158625577048900,158625577048900,0.422583,static
16917652493038336455,1,40,158625588082100,158625588082100,0.433610,static
16917652493038336455,1,41,158625599110500,158625599110500,0.444648,static
16917652493038336455,1,42,158625610283900,158625610283900,0.455819,static
16917652493038336455,1,43,158625621353100,158625621353100,0.466821,static
16917652493038336455,1,44,158625632412600,158625632412600,0.477934,static
