sampleNs,origin,connected,valid,result,m00,m01,m02,x,m10,m11,m12,y,m20,m21,m22,z
165481429876000,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481430012100,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481436088000,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481436115300,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481451698600,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481451743900,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481467435600,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481467471100,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481482244600,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481482300300,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481497941400,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481497984600,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481514008200,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481514042500,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481528804700,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481528838400,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481543953800,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481543987600,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481560108500,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481560145800,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481575851000,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481575890100,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481591092100,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481591158700,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481606842100,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481606885800,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481622545000,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481622579200,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481637818900,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481637857700,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481653450300,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481653488600,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481669093400,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481669127200,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481684322600,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481684372600,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481700966300,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481701008900,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481716920300,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481716951400,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481732438800,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481732472400,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481748197300,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481748228200,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481763951600,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481763980700,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481778998700,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481779029500,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481793781900,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481793852500,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481809298500,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481809328800,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481824850200,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481824888900,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481840407300,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481840483900,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481855706600,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481855799300,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481871203500,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481871234400,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481886527800,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481886581300,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481902172700,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481902203500,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481917612900,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481922095900,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481932974000,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481933011400,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481948221600,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481948261900,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481963667600,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481963697600,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481980026100,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481980057800,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481995324800,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165481995358000,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165482010491300,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165482010524200,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165482026641400,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165482026742600,1,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,3.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
165482042206000,2,1,1,200,0.9942689538,0.1067123264,-0.006458295509,0.2866021693,-0.09296028316,0.8928108811,0.4407347739,2.212178946,0.05279786885,-0.4376085401,0.8976141214,-0.059688095
