sampleNs,origin,connected,valid,result,m00,m01,m02,x,m10,m11,m12,y,m20,m21,m22,z
160330162166700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330162328800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330179575700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330179604400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330195216500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330195255400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330210460000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330210501400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330226355300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330226464600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330241755600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330241797200,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330257351000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330257390100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330272892800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330272934300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330288216900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330288270600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330303497300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330303603300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330319071200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330319103300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330334470400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330334506700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330349914900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330349959700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330365446900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330365483900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330380934600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330380979300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330396570200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330396603500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330412609300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330412657700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330427989600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330428037100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330443273100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330443342000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330458811700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330458857600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330474380000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330474431800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330489966200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330490010800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330505207500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330505249000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330520665600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330520790800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330536587100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330536617900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330551922500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330551956400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330567139200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330567170700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330582704300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330582759400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330598459000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330598506400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330613966200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330613996000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330629511200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330629563300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330644674600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330644749000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330660322100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330660394000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330675835200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330675900900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330691085400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330691124000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330706290400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330706323900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330721765700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330721796600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330737300500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330737367000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330752836800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330752877700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330768271300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330768311500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330783907800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330784086200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330799058800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330799094200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330814376900,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330814416700,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330829662700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330829711300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330845356600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330845395800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330860691900,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330860727700,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330876377900,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330876411500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330892031200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330892065600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330907437800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330907545000,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330923609600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330923765300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330939176400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330939213400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330954732000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330954787800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330970449000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330970560500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330986574000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330986644200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331002662800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331002737300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331018056800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331018094500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331033519200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331033559300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331049634600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331049679100,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331065093800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331065175400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331080612400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331080642800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331096342500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331096379300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331111893000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331111928600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331127190000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331127233200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331142973600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331143027500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331158476700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331158513600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331173641700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331173671500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331189380600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331189430200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331204776400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331204808300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
