sampleNs,origin,connected,valid,result,m00,m01,m02,x,m10,m11,m12,y,m20,m21,m22,z
160297575877500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297576045500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297587868300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297587907500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297603232400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297603272000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297618664400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297618697300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297634044600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297634075600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297649475200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297649565700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297664933300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297664970800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297680248000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297680278800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297695808400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297695838400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297711014600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297711057400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297726630400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297726669900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297742685900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297742819600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297757977700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297758057200,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297773462100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297773500800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297788755600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297788796500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297804269700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297804317900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297819367500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297819397300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297835007600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297835097100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297850631400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297850671100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297866425100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297866483300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297881824800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297881853000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297896966500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297896999800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297912783400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297912823200,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297928284900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297928325100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297944256100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297944299100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297959620700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297959675200,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297974744000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297974786000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160297990766600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160297990807300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298006324100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298006367700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298021728600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298021769400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298037143400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298037190300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298052688900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298052718700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298068235200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298068278200,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298083802000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298083833300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298099428200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298099468300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298114758800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298114798900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298130534200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298130570100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298145839600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298145936800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298161438800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298161483300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298176767800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298176822800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298192520800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298192762800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298208115900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298208155100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298223460100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298223568100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298239018300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298239047600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298254274300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298254315300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298269706500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298269740700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298285239400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298285354900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298300518500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160298300549900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160298316278400,2,1,1,200,0.9999828339,-0.005863531958,0,0,0.005863531958,0.9999828339,0,1,0,0,1,2
160298316316400,1,1,1,200,0.9999828339,-0.005863531958,0,0,0.005863531958,0.9999828339,0,2,0,0,1,2
160298331845800,2,1,1,200,0.9999828339,-0.005863531958,0,0,0.005863531958,0.9999828339,0,1,0,0,1,2
160298331884600,1,1,1,200,0.9999828339,-0.005863531958,0,0,0.005863531958,0.9999828339,0,2,0,0,1,2
160298347370900,2,1,1,200,0.999858439,-0.01682637818,0,0,0.01682637818,0.999858439,0,1,0,0,1,2
160298347398700,1,1,1,200,0.999858439,-0.01682637818,0,0,0.01682637818,0.999858439,0,2,0,0,1,2
160298362938300,2,1,1,200,0.9997503161,-0.02234644257,0,0,0.02234644257,0.9997503161,0,1,0,0,1,2
160298362985800,1,1,1,200,0.9997503161,-0.02234644257,0,0,0.02234644257,0.9997503161,0,2,0,0,1,2
160298378490000,2,1,1,200,0.9994434714,-0.03335864842,0,0,0.03335864842,0.9994434714,0,1,0,0,1,2
160298378536000,1,1,1,200,0.9994434714,-0.03335864842,0,0,0.03335864842,0.9994434714,0,2,0,0,1,2
160298393786200,2,1,1,200,0.9990113974,-0.04445421323,0,0,0.04445421323,0.9990113974,0,1,0,0,1,2
160298393827100,1,1,1,200,0.9990113974,-0.04445421323,0,0,0.04445421323,0.9990113974,0,2,0,0,1,2
160298409104100,2,1,1,200,0.9990113974,-0.04445421323,0,0,0.04445421323,0.9990113974,0,1,0,0,1,2
160298409133800,1,1,1,200,0.9990113974,-0.04445421323,0,0,0.04445421323,0.9990113974,0,2,0,0,1,2
160298424724300,2,1,1,200,0.9984539151,-0.05558571592,0,0,0.05558571592,0.9984539151,0,1,0,0,1,2
160298424758700,1,1,1,200,0.9984539151,-0.05558571592,0,0,0.05558571592,0.9984539151,0,2,0,0,1,2
160298440330000,2,1,1,200,0.9977833629,-0.06654605269,0,0,0.06654605269,0.9977833629,0,1,0,0,1,2
160298440374800,1,1,1,200,0.9977833629,-0.06654605269,0,0,0.06654605269,0.9977833629,0,2,0,0,1,2
160298456421100,2,1,1,200,0.9974024296,-0.07203060389,0,0,0.07203060389,0.9974024296,0,1,0,0,1,2
160298456461900,1,1,1,200,0.9974024296,-0.07203060389,0,0,0.07203060389,0.9974024296,0,2,0,0,1,2
