sampleNs,origin,connected,valid,result,m00,m01,m02,x,m10,m11,m12,y,m20,m21,m22,z
160237974764800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160237974946100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160237991740200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160237991778300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238007308800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238007401200,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238022755000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238022786800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238038348900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238038388900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238053870500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238053915700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238070030300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238070063300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238085564200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238085625000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238100609700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238100707400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238116515000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238116625300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238132637700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238132675700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238148069500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238148191300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238163775900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238163819600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238179191900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238179226100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238194461400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238194503800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238209803900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
