sampleNs,origin,connected,valid,result,m00,m01,m02,x,m10,m11,m12,y,m20,m21,m22,z
160269013341700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269013492800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269024130900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269024163100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269039756300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269039807600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269055298000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269055341500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269070749500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269070789600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269086361300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269086406200,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269101465600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269101528100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269116703000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269116780300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269132663800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269132690600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269148298300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269148339300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269164298900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269164344600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269179875800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269179922000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269195424200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269195531300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269210826900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269210866000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269226654100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269226692900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269241912900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269241951700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269257381900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269257409800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269273083400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269273130800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269288563900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269288605100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269303883800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269303925300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269319609800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269319650500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269335232000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269335271600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269350654800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269350700400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269365947400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269365986700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269381421100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269381451000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269397082200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269397119700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269412820100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269412853500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269428522100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269428567400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269444091900,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269444141300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160269459603700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160269459638900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
